satellite,storm_date,mean_drag_acc,pod_opt_window_min,pod_opt_r_native,pod_opt_r_matched,pod_opt_SD_pct_native,pod_opt_expl_var_pct,pod_opt_neg_frac,edr_opt_arc_min,edr_opt_r_native,edr_opt_r_matched,edr_opt_SD_pct_native,edr_opt_expl_var_pct,edr_opt_neg_frac
GRACE-FO-A,2022-08-05,1.1292358691783433e-07,45.0,0.8833208563183058,0.94835578613181,48.116014662643416,73.67930254362932,0.1558220795164793,45.0,0.8807735560429596,0.9572482065186296,49.37934719476311,70.45862663068998,0.0
GRACE-FO-A,2022-08-15,1.3247878701042324e-07,45.0,0.8450589505268215,0.9281032946200268,49.99627241926152,68.48535791469281,0.0042412418356094,45.0,0.8463980574549561,0.9340069834642324,55.83558068139922,69.62431318514442,0.3770028275212064
GRACE-FO-A,2023-02-25,2.416486058784431e-07,30.0,0.8919043073373655,0.928912379657057,35.209107918458706,79.5457819285334,0.0891541979998449,30.0,0.884946321835792,0.923568218836192,30.60049186345428,78.16440869234704,0.0
GRACE-FO-A,2023-03-21,2.5894378392894593e-07,45.0,0.8966660784759107,0.9693812718485204,27.41294633935587,77.45284609768336,0.0,45.0,0.898806018725185,0.9695378682956548,28.05356119002196,77.35171383822464,0.0
GRACE-FO-A,2023-04-21,1.781314587615115e-07,60.0,0.852966872105951,0.947017561906587,26.00151474035681,70.44416861876557,0.0,90.0,0.8419225321585518,0.9694120524010434,28.65005857086158,70.43357171463715,0.2096089138948645
GRACE-FO-A,2023-05-04,1.519330766913457e-07,90.0,0.8091877506464592,0.7210759471956218,22.814611386136185,63.76521876721531,0.0,45.0,0.7736730636878049,0.9051359485844028,26.64405131863885,56.65107721905501,0.0
GRACE-FO-A,2023-11-03,2.7284570427391864e-07,45.0,0.8552183471007323,0.9462471047070612,20.361625024571993,72.01855549467282,0.0124698644941391,45.0,0.8701533485825006,0.960880236246938,18.74996497901822,75.2952214490348,0.0227505403253327
GRACE-FO-A,2023-11-29,2.586564233818753e-07,30.0,0.9170355279060926,0.8690249981046126,27.659352726242737,82.53412866185023,0.434306283746772,45.0,0.8162739594175166,0.9165148744968944,26.002224224370973,66.53413546860506,0.0
GRACE-FO-A,2024-03-22,2.645889922753768e-07,45.0,0.8416148986982266,0.9639312960933172,17.127975833657104,70.62918179209355,0.0,45.0,0.8434554223411086,0.9682522417767602,17.2184395335935,70.66136497437073,0.0
GRACE-FO-A,2024-04-17,3.130297768729379e-07,30.0,0.8844171482777817,0.9184032198287184,15.24411997366748,77.40217999448882,0.0,45.0,0.8939255712924392,0.9845697696207591,15.39547176235725,79.12472624024055,0.0
GRACE-FO-A,2024-05-06,3.067881787023178e-07,30.0,0.8309897261259308,0.8766020537900077,31.88841413037295,50.23657444844414,0.0,30.0,0.9139724863571986,0.9377655369496528,37.311318766172576,82.1896732363921,0.1656257548048721
CHAMP,2001-03-31,1.3898736168582795e-06,,,,,,,,,,,,
CHAMP,2001-04-08,1.3424392940125385e-06,,,,,,,,,,,,
CHAMP,2001-04-18,1.220809661842759e-06,,,,,,,,,,,,
CHAMP,2001-08-17,1.0207372381118725e-06,,,,,,,,,,,,
CHAMP,2001-09-25,1.194019835438908e-06,,,,,,,,,,,,
CHAMP,2001-10-02,1.1679962703218807e-06,,,,,,,,,,,,
CHAMP,2001-10-21,1.312535629956518e-06,,,,,,,,,,,,
CHAMP,2001-10-28,1.2919876777220242e-06,,,,,,,,,,,,
CHAMP,2001-11-06,1.2476920898932614e-06,,,,,,,,,,,,
CHAMP,2001-11-24,1.2257291995742398e-06,,,,,,,,,,,,
CHAMP,2002-04-17,1.4413163621873153e-06,,,,,,,,,,,,
CHAMP,2002-05-11,1.4173740426697714e-06,,,,,,,,,,,,
CHAMP,2002-05-23,1.3433733978124267e-06,,,,,,,,,,,,
CHAMP,2002-09-07,1.4744789034750496e-06,,,,,,,,,,,,
CHAMP,2003-05-29,9.610925395623252e-07,,,,,,,,,,,,
CHAMP,2003-11-20,1.1695579067844008e-06,,,,,,,,,,,,
CHAMP,2004-07-25,1.1775856288195748e-06,,,,,,,,,,,,
CHAMP,2004-07-27,1.1775856288195748e-06,,,,,,,,,,,,
CHAMP,2004-11-07,1.4472676737257698e-06,,,,,,,,,,,,
CHAMP,2004-11-08,1.4472676737257698e-06,,,,,,,,,,,,
CHAMP,2005-01-07,1.212397294847554e-06,,,,,,,,,,,,
CHAMP,2005-01-18,1.2763304420977506e-06,,,,,,,,,,,,
CHAMP,2005-08-24,1.4083463609733918e-06,,,,,,,,,,,,
GRACE-FO-A,2019-05-14,1.462081011022682e-07,,,,,,,,,,,,
GRACE-FO-A,2019-08-31,1.7307482751211484e-07,,,,,,,,,,,,
GRACE-FO-A,2020-09-24,1.1779009295319045e-07,,,,,,,,,,,,
GRACE-FO-A,2021-03-01,8.161112931330665e-08,,,,,,,,,,,,
GRACE-FO-A,2021-03-20,1.0606852621527298e-07,,,,,,,,,,,,
GRACE-FO-A,2021-05-12,1.2435466647279284e-07,,,,,,,,,,,,
GRACE-FO-A,2021-10-12,1.1380284616547072e-07,,,,,,,,,,,,
GRACE-FO-A,2021-11-03,8.015492033881936e-07,,,,,,,,,,,,
GRACE-FO-A,2021-11-04,8.015492033881936e-07,,,,,,,,,,,,
GRACE-FO-A,2022-01-14,1.1685281375546987e-07,,,,,,,,,,,,
GRACE-FO-A,2022-03-13,1.1697891043534125e-07,,,,,,,,,,,,
GRACE-FO-A,2022-04-10,1.2278040384696444e-07,,,,,,,,,,,,
GRACE-FO-A,2022-08-07,1.0504083509985235e-07,,,,,,,,,,,,
GRACE-FO-A,2022-08-17,1.2658778841522221e-07,,,,,,,,,,,,
GRACE-FO-A,2023-02-27,2.2569563409165268e-07,,,,,,,,,,,,
GRACE-FO-A,2023-03-23,2.569826736922731e-07,,,,,,,,,,,,
GRACE-FO-A,2023-03-24,2.569826736922731e-07,,,,,,,,,,,,
GRACE-FO-A,2023-04-23,1.7432775413520102e-07,,,,,,,,,,,,
GRACE-FO-A,2023-11-05,2.4731012877548254e-07,,,,,,,,,,,,
GRACE-FO-A,2023-12-01,2.3059134565828948e-07,,,,,,,,,,,,
GRACE-FO-A,2024-03-24,2.519505212185544e-07,,,,,,,,,,,,
GRACE-FO-A,2024-04-19,3.1353027724800884e-07,,,,,,,,,,,,
GRACE-FO-A,2024-08-12,4.1100327876097333e-07,,,,,,,,,,,,
GRACE-FO-A,2024-09-12,3.4915036916857696e-07,,,,,,,,,,,,
GRACE-FO-A,2024-09-17,2.7136420095097184e-07,,,,,,,,,,,,
GRACE-FO-A,2024-10-11,3.9433079102642713e-07,,,,,,,,,,,,
GRACE-FO-A,2025-01-01,4.1553068056070563e-07,,,,,,,,,,,,
GRACE-FO-A,2025-04-16,3.0541111048939307e-07,,,,,,,,,,,,
GRACE-FO-A,2025-06-01,2.2920980220982618e-07,,,,,,,,,,,,
