satellite,storm_date,mean_drag_acc,log_drag,drag_tercile,method,window_min,r_native,sigma,beta,SD_pct_native,expl_var_pct,n_valid,r_matched
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,EDR,100.0,0.0691509010616583,0.084071211960914,-0.3446719922059447,91.84221652460258,-1.8178681311397993,10502,0.8846672954891561
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,EDR,120.0,-0.2173447432987544,0.0904084234962733,-0.3062596465383086,106.9084848070304,-19.119546895185135,10482,0.9062350128116508
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,EDR,135.0,-0.3184030969540338,0.0693195576375451,-0.3297226134929138,110.94684028501484,-23.257060285738728,10467,0.9469419910053336
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,EDR,150.0,-0.3133570228517415,0.0669042790995434,-0.3849655961369995,108.89760460079124,-20.074976100734567,10452,0.9473337251679276
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,EDR,180.0,0.1000430523493476,0.055601308939373,-0.3733558959161281,89.32396987471898,0.0795897016263258,10422,0.9428992294405848
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,EDR,210.0,0.5583428844248685,0.05317617343529,-0.3236348015627565,73.26258321995223,19.401670279542127,10392,0.9574104133145708
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,EDR,240.0,0.5509165785198824,0.044509885945805,-0.3602424594506769,72.1143835493866,18.627779584266403,10561,0.968757965083441
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,EDR,270.0,0.3284368917839196,0.0407658842955973,-0.3704783557803759,80.91295768356429,8.8831530871877,10501,0.96987238183906
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,2.0,0.3124585616036839,1.1033280327851005,-0.0920168187492749,201.60126370108023,-225.06063803273935,15107,0.3130060172532318
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,3.0,0.4194774584755392,1.0145418809721458,-0.0929894694509074,175.95381048128647,-143.3617644168379,16193,0.4205513582348381
