satellite,storm_date,mean_drag_acc,method,opt_window_min,opt_sigma,opt_r_native,auc_r_native
GRACE-FO-A,2021-03-20,1.0606852621527298e-07,POD,240.0,0.2233865801831059,0.5375026962062561,0.31494303060518963
GRACE-FO-A,2021-05-12,1.2435466647279284e-07,EDR,240.0,0.3195970035591248,0.337679685895047,0.1633879809411137
GRACE-FO-A,2021-05-12,1.2435466647279284e-07,POD,240.0,0.2282352536727496,0.3596612699141766,0.1659096257471532
GRACE-FO-A,2021-10-12,1.1380284616547073e-07,EDR,45.0,0.6102838809101759,0.7502045978615373,0.2739348079001972
GRACE-FO-A,2021-10-12,1.1380284616547073e-07,POD,45.0,0.7097593134697103,0.7164049758271207,0.24823272333179922
GRACE-FO-A,2021-11-03,8.015492033881936e-07,EDR,45.0,0.6841569713791001,0.8061398629363558,0.4195503829059944
GRACE-FO-A,2021-11-03,8.015492033881936e-07,POD,45.0,0.6385896560655575,0.800786779074072,0.425354130704498
GRACE-FO-A,2021-11-04,8.015492033881936e-07,EDR,45.0,0.6841569713791001,0.8061398629363558,0.4195503829059944
GRACE-FO-A,2021-11-04,8.015492033881936e-07,POD,45.0,0.6385896560655575,0.800786779074072,0.425354130704498
GRACE-FO-A,2022-01-14,1.168528137554699e-07,EDR,240.0,0.0704970119657521,0.6759110117350715,0.5180044433194622
GRACE-FO-A,2022-01-14,1.168528137554699e-07,POD,240.0,0.100491352656265,0.6670101713832259,0.5014018366557256
GRACE-FO-A,2022-03-13,1.1697891043534125e-07,EDR,45.0,0.2549514822647492,0.8566462956300923,0.42275215642975245
GRACE-FO-A,2022-03-13,1.1697891043534125e-07,POD,30.0,0.5191558448986706,0.8732485686451498,0.4238465846698311
GRACE-FO-A,2022-04-10,1.2278040384696444e-07,EDR,45.0,0.2314936390221324,0.7945821361187793,0.39047796178211946
GRACE-FO-A,2022-04-10,1.2278040384696444e-07,POD,45.0,0.2399641318575404,0.8005346376508893,0.4041330163514608
GRACE-FO-A,2022-08-07,1.0504083509985236e-07,EDR,45.0,0.241483688269558,0.881818897737941,0.36828714841232824
GRACE-FO-A,2022-08-07,1.0504083509985236e-07,POD,45.0,0.2682206093432833,0.8821960548488206,0.3812186611835711
GRACE-FO-A,2022-08-17,1.2658778841522221e-07,EDR,45.0,0.3275288884135298,0.8518934621865396,0.24446917147155192
GRACE-FO-A,2022-08-17,1.2658778841522221e-07,POD,45.0,0.2784934420828498,0.844701695641025,0.24069211381550162
GRACE-FO-A,2023-02-27,2.256956340916527e-07,EDR,30.0,0.2716393795345022,0.8994063303088801,0.5189931231339028
GRACE-FO-A,2023-02-27,2.256956340916527e-07,POD,30.0,0.2444640776126859,0.912120432561742,0.5216107588431056
GRACE-FO-A,2023-03-23,2.569826736922731e-07,EDR,45.0,0.1040714332312304,0.8989390345584087,0.5407309622776911
GRACE-FO-A,2023-03-23,2.569826736922731e-07,POD,45.0,0.108450553655654,0.9017836028802378,0.5405067013376228
GRACE-FO-A,2023-03-24,2.569826736922731e-07,EDR,45.0,0.1040714332312304,0.8989390345584087,0.5407309622776911
GRACE-FO-A,2023-03-24,2.569826736922731e-07,POD,45.0,0.108450553655654,0.9017836028802378,0.5405067013376228
GRACE-FO-A,2023-04-23,1.7432775413520102e-07,EDR,240.0,0.0364083217442627,0.8787384894687104,0.8533136294650406
GRACE-FO-A,2023-04-23,1.7432775413520102e-07,POD,240.0,0.0476507503223969,0.8722633252386225,0.8467320136572359
